State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,   4817528,      21693,         342,       1296,,       5020,      15035,     168878,      47481,     111523,       9874,         450.3,           7.1,          26.9,,         104.2,         312.1,       3505.5,         985.6,       2314.9,         205.0
Alaska,     730307,       4412,          30,         583,,         630,       3169,      20037,       2950,      15565,       1522,         604.1,           4.1,          79.8,,          86.3,         433.9,       2743.6,         403.9,       2131.3,         208.4
Arizona,   6551149,      28077,         358,       2282,,       7383,      18054,     231701,      52911,     159808,      18982,         428.6,           5.5,          34.8,,         112.7,         275.6,       3536.8,         807.7,       2439.4,         289.8
Arkansas,   2949828,      13851,         174,       1233,,       2310,      10134,     109389,      32673,      70982,       5734,         469.6,           5.9,          41.8,,          78.3,         343.5,       3708.3,       1107.6,       2406.3,         194.4
California,  37999878,     160944,       1884,       7837,,      56521,      94702,   1049465,     245767,     635090,     168608,         423.5,           5.0,          20.6,,         148.7,         249.2,       2761.8,         646.8,       1671.3,         443.7
Colorado,   5189458,      15951,         152,       2122,,       3392,      10285,     139355,      26163,     101091,      12101,         307.4,           2.9,          40.9,,          65.4,         198.2,       2685.3,         504.2,       1948.0,         233.2
Connecticut,   3591765,      10183,         117,         933,,       3709,       5424,      77169,      14787,      55904,       6478,         283.5,           3.3,          26.0,,         103.3,         151.0,       2148.5,         411.7,       1556.4,         180.4
Delaware,     917053,       5048,          56,         249,,       1498,       3245,      30707,       7389,      21880,       1438,         550.5,           6.1,          27.2,,         163.3,         353.9,       3348.4,         805.7,       2385.9,         156.8
District of Columbia,     633427,       7866,          88,         236,,       4037,       3505,      30757,       3519,      23575,       3663,       1241.8,          13.9,          37.3,,         637.3,         553.3,       4855.7,         555.5,       3721.8,         578.3
Florida,  19320749,      94087,       1009,       5260,,      23889,      63929,     632988,     153563,     442095,      37330,         487.0,           5.2,          27.2,,         123.6,         330.9,       3276.2,         794.8,       2288.2,         193.2
Georgia,   9915646,      37675,         583,       2143,,      12502,      22447,     339473,      86992,     223875,      28606,         380.0,           5.9,          21.6,,         126.1,         226.4,       3423.6,         877.3,       2257.8,         288.5
Hawaii,   1390090,       3378,          21,         279,,       1125,       1953,      43419,       7653,      31901,       3865,         243.0,           1.5,          20.1,,          80.9,         140.5,       3123.5,         550.5,       2294.9,         278.0
Idaho,   1595590,       3348,          30,         495,,         243,       2580,      31825,       7240,      23203,       1382,         209.8,           1.9,          31.0,,          15.2,         161.7,       1994.6,         453.8,       1454.2,          86.6
Illinois,  12868192,      53556,         770,       3581,,      19480,      29725,     332706,      71100,     235314,      26292,         416.2,           6.0,          27.8,,         151.4,         231.0,       2585.5,         552.5,       1828.6,         204.3
Indiana,   6537782,      22544,         307,       1661,,       6601,      13975,     197994,      47689,     136668,      13637,         344.8,           4.7,          25.4,,         101.0,         213.8,       3028.5,         729.4,       2090.4,         208.6
Iowa,   3075039,       8167,          49,         901,,         962,       6255,      70357,      17201,      49116,       4040,         265.6,           1.6,          29.3,,          31.3,         203.4,       2288.0,         559.4,       1597.2,         131.4
Kansas,   2885398,      10292,          85,       1105,,       1493,       7609,      91066,      18874,      65413,       6779,         356.7,           2.9,          38.3,,          51.7,         263.7,       3156.1,         654.1,       2267.0,         234.9
Kentucky,   4379730,       9852,         201,       1312,,       3547,       4792,     112800,      29877,      76199,       6724,         224.9,           4.6,          30.0,,          81.0,         109.4,       2575.5,         682.2,       1739.8,         153.5
Louisiana,   4602134,      22839,         489,       1155,,       5458,      15737,     162673,      42037,     112764,       7872,         496.3,          10.6,          25.1,,         118.6,         342.0,       3534.7,         913.4,       2450.3,         171.1
Maine,   1328501,       1626,          26,         372,,         420,         808,      33398,       7476,      24931,         991,         122.4,           2.0,          28.0,,          31.6,          60.8,       2514.0,         562.7,       1876.6,          74.6
Maryland,   5884868,      28086,         373,       1237,,      10173,      16303,     162309,      33803,     113550,      14956,         477.3,           6.3,          21.0,,         172.9,         277.0,       2758.1,         574.4,       1929.5,         254.1
Massachusetts,   6645303,      27047,         121,       1650,,       6555,      18721,     143325,      34635,      99453,       9237,         407.0,           1.8,          24.8,,          98.6,         281.7,       2156.8,         521.2,       1496.6,         139.0
Michigan,   9882519,      44962,         701,       4635,,      10423,      29203,     249249,      65560,     158609,      25080,         455.0,           7.1,          46.9,,         105.5,         295.5,       2522.1,         663.4,       1604.9,         253.8
Minnesota,   5379646,      12419,          99,       1638,,       3475,       7207,     138152,      25378,     104316,       8458,         230.9,           1.8,          30.4,,          64.6,         134.0,       2568.1,         471.7,       1939.1,         157.2
Mississippi,   2986450,       7769,         213,         819,,       2277,       4460,      83933,      28084,      51520,       4329,         260.1,           7.1,          27.4,,          76.2,         149.3,       2810.5,         940.4,       1725.1,         145.0
Missouri,   6024522,      27189,         390,       1527,,       5782,      19490,     199813,      42510,     140971,      16332,         451.3,           6.5,          25.3,,          96.0,         323.5,       3316.7,         705.6,       2340.0,         271.1
Montana,   1005494,       2803,          29,         392,,         202,       2180,      26102,       3920,      20484,       1698,         278.8,           2.9,          39.0,,          20.1,         216.8,       2595.9,         389.9,       2037.2,         168.9
Nebraska,   1855350,       4802,          52,         710,,       1128,       2912,      51203,       8745,      38301,       4157,         258.8,           2.8,          38.3,,          60.8,         157.0,       2759.7,         471.3,       2064.4,         224.1
Nevada,   2754354,      16763,         124,         931,,       4918,      10790,      77510,      22120,      45372,      10018,         608.6,           4.5,          33.8,,         178.6,         391.7,       2814.1,         803.1,       1647.3,         363.7
New Hampshire,   1321617,       2841,          15,         486,,         471,       1869,      32074,       5988,      25024,       1062,         215.0,           1.1,          36.8,,          35.6,         141.4,       2426.9,         453.1,       1893.4,          80.4
New Jersey,   8867749,      25727,         388,       1035,,      11385,      12919,     181481,      42338,     122662,      16481,         290.1,           4.4,          11.7,,         128.4,         145.7,       2046.5,         477.4,       1383.2,         185.9
New Mexico,   2083540,      11660,         116,         957,,       1847,       8740,      75094,      21384,      48247,       5463,         559.6,           5.6,          45.9,,          88.6,         419.5,       3604.2,       1026.3,       2315.6,         262.2
New York,  19576125,      79535,         683,       2837,,      28633,      47382,     375268,      64389,     293562,      17317,         406.3,           3.5,          14.5,,         146.3,         242.0,       1917.0,         328.9,       1499.6,          88.5
North Carolina,   9748364,      34464,         479,       1984,,       9392,      22609,     328594,      99323,     213151,      16120,         353.5,           4.9,          20.4,,          96.3,         231.9,       3370.8,       1018.9,       2186.5,         165.4
North Dakota,     701345,       1723,          25,         279,,         127,       1292,      14297,       2429,      10687,       1181,         245.7,           3.6,          39.8,,          18.1,         184.2,       2038.5,         346.3,       1523.8,         168.4
Ohio,  11553031,      34827,         478,       3813,,      15396,      15140,     370435,     105312,     245372,      19751,         301.5,           4.1,          33.0,,         133.3,         131.0,       3206.4,         911.6,       2123.9,         171.0
Oklahoma,   3815780,      18102,         220,       1622,,       3248,      13012,     130969,      36094,      83131,      11744,         474.4,           5.8,          42.5,,          85.1,         341.0,       3432.3,         945.9,       2178.6,         307.8
Oregon,   3899801,       9638,          91,       1159,,       2419,       5969,     126417,      22051,      94114,      10252,         247.1,           2.3,          29.7,,          62.0,         153.1,       3241.6,         565.4,       2413.3,         262.9
Pennsylvania,  12764475,      45384,         707,       3371,,      15735,      25571,     276562,      57040,     204409,      15113,         355.5,           5.5,          26.4,,         123.3,         200.3,       2166.7,         446.9,       1601.4,         118.4
Rhode Island,   1050304,       2657,          36,         292,,         715,       1614,      27039,       5929,      18478,       2632,         253.0,           3.4,          27.8,,          68.1,         153.7,       2574.4,         564.5,       1759.3,         250.6
South Carolina,   4723417,      26474,         332,       1712,,       4511,      19919,     181049,      45222,     122340,      13487,         560.5,           7.0,          36.2,,          95.5,         421.7,       3833.0,         957.4,       2590.1,         285.5
South Dakota,     834047,       2701,          23,         600,,         157,       1921,      17326,       3280,      12973,       1073,         323.8,           2.8,          71.9,,          18.8,         230.3,       2077.3,         393.3,       1555.4,         128.6
Tennessee,   6454914,      41213,         400,       2047,,       8151,      30615,     217925,      56231,     148731,      12963,         638.5,           6.2,          31.7,,         126.3,         474.3,       3376.1,         871.1,       2304.2,         200.8
Texas,  26060796,     106475,       1148,       7715,,      30385,      67227,     876459,     205002,     606425,      65032,         408.6,           4.4,          29.6,,         116.6,         258.0,       3363.1,         786.6,       2327.0,         249.5
Utah,   2854871,       5939,          52,         975,,       1105,       3807,      86284,      13095,      67157,       6032,         208.0,           1.8,          34.2,,          38.7,         133.4,       3022.3,         458.7,       2352.4,         211.3
Vermont,     625953,         891,           8,         131,,         114,         638,      15653,       4179,      11014,         460,         142.3,           1.3,          20.9,,          18.2,         101.9,       2500.7,         667.6,       1759.6,          73.5
Virginia,   8186628,      15676,         322,       1505,,       4718,       9131,     178434,      29651,     139654,       9129,         191.5,           3.9,          18.4,,          57.6,         111.5,       2179.6,         362.2,       1705.9,         111.5
Washington,   6895318,      20553,         217,       2250,,       5801,      12285,     254377,      61376,     166338,      26663,         298.1,           3.1,          32.6,,          84.1,         178.2,       3689.1,         890.1,       2412.3,         386.7
West Virginia,   1856680,       5943,          70,         415,,         835,       4623,      44500,      11466,      30800,       2234,         320.1,           3.8,          22.4,,          45.0,         249.0,       2396.8,         617.6,       1658.9,         120.3
Wisconsin,   5724554,      16254,         169,       1228,,       4692,      10165,     140780,      27931,     104619,       8230,         283.9,           3.0,          21.5,,          82.0,         177.6,       2459.2,         487.9,       1827.5,         143.8
Wyoming,     576626,       1161,          14,         154,,          61,         932,      13222,       2125,      10513,         584,         201.3,           2.4,          26.7,,          10.6,         161.6,       2293.0,         368.5,       1823.2,         101.3
United States-Total, 313873685,   1217067,      14866,      85141,,     355051,     762009,   9001992,   2109932,   6168874,     723186,         387.8,           4.7,          27.1,,         113.1,         242.8,       2868.0,         672.2,       1965.4,         230.4
