LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed Level,Unemployed Rate
CN0100100000000,1,1,"Autauga County, AL",2015,"25,602","24,272","1,330",5.2
CN0100300000000,1,3,"Baldwin County, AL",2015,"87,705","82,843","4,862",5.5
CN0100500000000,1,5,"Barbour County, AL",2015,"8,609","7,844",765,8.9
CN0100700000000,1,7,"Bibb County, AL",2015,"8,572","8,005",567,6.6
CN0100900000000,1,9,"Blount County, AL",2015,"24,473","23,152","1,321",5.4
CN0101100000000,1,11,"Bullock County, AL",2015,"4,777","4,398",379,7.9
CN0101300000000,1,13,"Butler County, AL",2015,"9,134","8,440",694,7.6
CN0101500000000,1,15,"Calhoun County, AL",2015,"45,910","42,679","3,231",7
CN0101700000000,1,17,"Chambers County, AL",2015,"14,975","14,069",906,6.1
CN0101900000000,1,19,"Cherokee County, AL",2015,"11,158","10,549",609,5.5
CN0102100000000,1,21,"Chilton County, AL",2015,"19,133","18,054","1,079",5.6
CN0102300000000,1,23,"Choctaw County, AL",2015,"4,378","3,980",398,9.1
CN0102500000000,1,25,"Clarke County, AL",2015,"7,992","7,054",938,11.7
CN0102700000000,1,27,"Clay County, AL",2015,"5,548","5,208",340,6.1
CN0102900000000,1,29,"Cleburne County, AL",2015,"5,677","5,335",342,6
CN0103100000000,1,31,"Coffee County, AL",2015,"20,269","19,062","1,207",6
CN0103300000000,1,33,"Colbert County, AL",2015,"23,603","21,733","1,870",7.9
CN0103500000000,1,35,"Conecuh County, AL",2015,"4,681","4,249",432,9.2
CN0103700000000,1,37,"Coosa County, AL",2015,"4,426","4,130",296,6.7
CN0103900000000,1,39,"Covington County, AL",2015,"15,457","14,353","1,104",7.1
CN0104100000000,1,41,"Crenshaw County, AL",2015,"6,355","5,974",381,6
CN0104300000000,1,43,"Cullman County, AL",2015,"36,384","34,472","1,912",5.3
CN0104500000000,1,45,"Dale County, AL",2015,"19,837","18,575","1,262",6.4
CN0104700000000,1,47,"Dallas County, AL",2015,"15,589","14,094","1,495",9.6
CN0104900000000,1,49,"DeKalb County, AL",2015,"28,767","27,022","1,745",6.1
CN0105100000000,1,51,"Elmore County, AL",2015,"36,743","34,897","1,846",5
CN0105300000000,1,53,"Escambia County, AL",2015,"14,597","13,571","1,026",7
CN0105500000000,1,55,"Etowah County, AL",2015,"42,684","40,045","2,639",6.2
CN0105700000000,1,57,"Fayette County, AL",2015,"6,422","5,971",451,7
CN0105900000000,1,59,"Franklin County, AL",2015,"13,661","12,782",879,6.4
CN0106100000000,1,61,"Geneva County, AL",2015,"10,785","10,147",638,5.9
CN0106300000000,1,63,"Greene County, AL",2015,"2,878","2,559",319,11.1
CN0106500000000,1,65,"Hale County, AL",2015,"6,047","5,577",470,7.8
CN0106700000000,1,67,"Henry County, AL",2015,"6,715","6,259",456,6.8
CN0106900000000,1,69,"Houston County, AL",2015,"44,550","41,767","2,783",6.2
CN0107100000000,1,71,"Jackson County, AL",2015,"23,461","21,900","1,561",6.7
CN0107300000000,1,73,"Jefferson County, AL",2015,"310,883","292,958","17,925",5.8
CN0107500000000,1,75,"Lamar County, AL",2015,"5,615","5,260",355,6.3
CN0107700000000,1,77,"Lauderdale County, AL",2015,"42,649","39,687","2,962",6.9
CN0107900000000,1,79,"Lawrence County, AL",2015,"13,673","12,616","1,057",7.7
CN0108100000000,1,81,"Lee County, AL",2015,"70,859","67,140","3,719",5.2
CN0108300000000,1,83,"Limestone County, AL",2015,"39,948","37,757","2,191",5.5
CN0108500000000,1,85,"Lowndes County, AL",2015,"3,827","3,385",442,11.5
CN0108700000000,1,87,"Macon County, AL",2015,"7,967","7,326",641,8
CN0108900000000,1,89,"Madison County, AL",2015,"170,889","161,516","9,373",5.5
CN0109100000000,1,91,"Marengo County, AL",2015,"7,406","6,839",567,7.7
CN0109300000000,1,93,"Marion County, AL",2015,"12,483","11,615",868,7
CN0109500000000,1,95,"Marshall County, AL",2015,"40,382","38,049","2,333",5.8
CN0109700000000,1,97,"Mobile County, AL",2015,"186,910","174,057","12,853",6.9
CN0109900000000,1,99,"Monroe County, AL",2015,"7,340","6,601",739,10.1
CN0110100000000,1,101,"Montgomery County, AL",2015,"105,051","98,643","6,408",6.1
CN0110300000000,1,103,"Morgan County, AL",2015,"54,904","51,678","3,226",5.9
CN0110500000000,1,105,"Perry County, AL",2015,"3,485","3,137",348,10
CN0110700000000,1,107,"Pickens County, AL",2015,"8,007","7,465",542,6.8
CN0110900000000,1,109,"Pike County, AL",2015,"14,939","13,956",983,6.6
CN0111100000000,1,111,"Randolph County, AL",2015,"9,433","8,876",557,5.9
CN0111300000000,1,113,"Russell County, AL",2015,"24,104","22,674","1,430",5.9
CN0111500000000,1,115,"St. Clair County, AL",2015,"38,570","36,552","2,018",5.2
CN0111700000000,1,117,"Shelby County, AL",2015,"108,198","103,643","4,555",4.2
CN0111900000000,1,119,"Sumter County, AL",2015,"5,107","4,699",408,8
CN0112100000000,1,121,"Talladega County, AL",2015,"35,134","32,824","2,310",6.6
CN0112300000000,1,123,"Tallapoosa County, AL",2015,"18,740","17,598","1,142",6.1
CN0112500000000,1,125,"Tuscaloosa County, AL",2015,"98,867","93,482","5,385",5.4
CN0112700000000,1,127,"Walker County, AL",2015,"25,560","23,714","1,846",7.2
CN0112900000000,1,129,"Washington County, AL",2015,"6,699","6,102",597,8.9
CN0113100000000,1,131,"Wilcox County, AL",2015,"2,824","2,410",414,14.7
CN0113300000000,1,133,"Winston County, AL",2015,"9,375","8,669",706,7.5
CN0201300000000,2,13,"Aleutians East Borough, AK",2015,"2,479","2,399",80,3.2
CN0201600000000,2,16,"Aleutians West Census Area, AK",2015,"4,072","3,914",158,3.9
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2015,"157,011","149,082","7,929",5
CN0205000000000,2,50,"Bethel Census Area, AK",2015,"7,377","6,314","1,063",14.4
CN0206000000000,2,60,"Bristol Bay Borough, AK",2015,382,346,36,9.4
CN0206800000000,2,68,"Denali Borough, AK",2015,"1,072",978,94,8.8
CN0207000000000,2,70,"Dillingham Census Area, AK",2015,"2,044","1,846",198,9.7
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2015,"46,469","43,929","2,540",5.5
CN0210000000000,2,100,"Haines Borough, AK",2015,"1,089",982,107,9.8
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",2015,"1,136",964,172,15.1
CN0211000000000,2,110,"Juneau Borough/city, AK",2015,"17,118","16,309",809,4.7
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",2015,"27,685","25,511","2,174",7.9
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",2015,"6,974","6,493",481,6.9
CN0215000000000,2,150,"Kodiak Island Borough, AK",2015,"6,630","6,310",320,4.8
CN0215800000000,2,158,"Kusilvak Census Area, AK",2015,"2,815","2,163",652,23.2
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",2015,647,566,81,12.5
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",2015,"46,260","42,698","3,562",7.7
CN0218000000000,2,180,"Nome Census Area, AK",2015,"4,090","3,601",489,12
CN0218500000000,2,185,"North Slope Borough, AK",2015,"4,312","4,065",247,5.7
CN0218800000000,2,188,"Northwest Arctic Borough, AK",2015,"2,916","2,448",468,16
CN0219500000000,2,195,"Petersburg Borough, AK",2015,"1,497","1,363",134,9
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",2015,"2,768","2,419",349,12.6
CN0222000000000,2,220,"Sitka Borough/city, AK",2015,"4,607","4,395",212,4.6
CN0223000000000,2,230,"Skagway Municipality, AK",2015,814,720,94,11.5
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",2015,"3,013","2,692",321,10.7
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",2015,"4,889","4,465",424,8.7
CN0227500000000,2,275,"Wrangell Borough/city, AK",2015,"1,033",951,82,7.9
CN0228200000000,2,282,"Yakutat Borough/city, AK",2015,259,237,22,8.5
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",2015,"2,415","1,971",444,18.4
CN0400100000000,4,1,"Apache County, AZ",2015,"20,518","17,796","2,722",13.3
CN0400300000000,4,3,"Cochise County, AZ",2015,"50,087","46,447","3,640",7.3
CN0400500000000,4,5,"Coconino County, AZ",2015,"72,942","68,209","4,733",6.5
CN0400700000000,4,7,"Gila County, AZ",2015,"21,110","19,447","1,663",7.9
CN0400900000000,4,9,"Graham County, AZ",2015,"14,447","13,388","1,059",7.3
CN0401100000000,4,11,"Greenlee County, AZ",2015,"4,027","3,709",318,7.9
CN0401200000000,4,12,"La Paz County, AZ",2015,"8,135","7,530",605,7.4
CN0401300000000,4,13,"Maricopa County, AZ",2015,"2,013,552","1,910,598","102,954",5.1
CN0401500000000,4,15,"Mohave County, AZ",2015,"79,210","72,935","6,275",7.9
CN0401700000000,4,17,"Navajo County, AZ",2015,"40,521","36,613","3,908",9.6
CN0401900000000,4,19,"Pima County, AZ",2015,"463,229","437,916","25,313",5.5
CN0402100000000,4,21,"Pinal County, AZ",2015,"156,475","146,677","9,798",6.3
CN0402300000000,4,23,"Santa Cruz County, AZ",2015,"19,783","17,520","2,263",11.4
CN0402500000000,4,25,"Yavapai County, AZ",2015,"95,782","90,422","5,360",5.6
CN0402700000000,4,27,"Yuma County, AZ",2015,"93,222","73,038","20,184",21.7
CN0500100000000,5,1,"Arkansas County, AR",2015,"9,487","9,092",395,4.2
CN0500300000000,5,3,"Ashley County, AR",2015,"8,146","7,515",631,7.7
CN0500500000000,5,5,"Baxter County, AR",2015,"16,217","15,329",888,5.5
CN0500700000000,5,7,"Benton County, AR",2015,"121,826","117,246","4,580",3.8
CN0500900000000,5,9,"Boone County, AR",2015,"15,844","15,072",772,4.9
CN0501100000000,5,11,"Bradley County, AR",2015,"4,383","4,117",266,6.1
CN0501300000000,5,13,"Calhoun County, AR",2015,"2,408","2,277",131,5.4
CN0501500000000,5,15,"Carroll County, AR",2015,"12,657","12,080",577,4.6
CN0501700000000,5,17,"Chicot County, AR",2015,"3,726","3,388",338,9.1
CN0501900000000,5,19,"Clark County, AR",2015,"9,453","8,928",525,5.6
CN0502100000000,5,21,"Clay County, AR",2015,"6,297","5,882",415,6.6
CN0502300000000,5,23,"Cleburne County, AR",2015,"9,609","8,944",665,6.9
CN0502500000000,5,25,"Cleveland County, AR",2015,"3,358","3,169",189,5.6
CN0502700000000,5,27,"Columbia County, AR",2015,"9,537","8,914",623,6.5
CN0502900000000,5,29,"Conway County, AR",2015,"8,639","8,113",526,6.1
CN0503100000000,5,31,"Craighead County, AR",2015,"50,999","48,745","2,254",4.4
CN0503300000000,5,33,"Crawford County, AR",2015,"26,854","25,460","1,394",5.2
CN0503500000000,5,35,"Crittenden County, AR",2015,"21,424","20,102","1,322",6.2
CN0503700000000,5,37,"Cross County, AR",2015,"8,101","7,663",438,5.4
CN0503900000000,5,39,"Dallas County, AR",2015,"2,873","2,666",207,7.2
CN0504100000000,5,41,"Desha County, AR",2015,"5,547","5,142",405,7.3
CN0504300000000,5,43,"Drew County, AR",2015,"7,926","7,374",552,7
CN0504500000000,5,45,"Faulkner County, AR",2015,"59,915","57,123","2,792",4.7
CN0504700000000,5,47,"Franklin County, AR",2015,"7,412","7,047",365,4.9
CN0504900000000,5,49,"Fulton County, AR",2015,"4,759","4,511",248,5.2
CN0505100000000,5,51,"Garland County, AR",2015,"39,950","37,769","2,181",5.5
CN0505300000000,5,53,"Grant County, AR",2015,"8,258","7,883",375,4.5
CN0505500000000,5,55,"Greene County, AR",2015,"19,950","18,918","1,032",5.2
CN0505700000000,5,57,"Hempstead County, AR",2015,"9,856","9,369",487,4.9
CN0505900000000,5,59,"Hot Spring County, AR",2015,"14,158","13,445",713,5
CN0506100000000,5,61,"Howard County, AR",2015,"6,057","5,802",255,4.2
CN0506300000000,5,63,"Independence County, AR",2015,"15,667","14,656","1,011",6.5
CN0506500000000,5,65,"Izard County, AR",2015,"4,979","4,650",329,6.6
CN0506700000000,5,67,"Jackson County, AR",2015,"6,188","5,723",465,7.5
CN0506900000000,5,69,"Jefferson County, AR",2015,"28,769","26,744","2,025",7
CN0507100000000,5,71,"Johnson County, AR",2015,"10,399","9,801",598,5.8
CN0507300000000,5,73,"Lafayette County, AR",2015,"2,617","2,418",199,7.6
CN0507500000000,5,75,"Lawrence County, AR",2015,"7,046","6,623",423,6
CN0507700000000,5,77,"Lee County, AR",2015,"3,180","2,968",212,6.7
CN0507900000000,5,79,"Lincoln County, AR",2015,"4,126","3,873",253,6.1
CN0508100000000,5,81,"Little River County, AR",2015,"5,594","5,289",305,5.5
CN0508300000000,5,83,"Logan County, AR",2015,"9,162","8,636",526,5.7
CN0508500000000,5,85,"Lonoke County, AR",2015,"33,000","31,618","1,382",4.2
CN0508700000000,5,87,"Madison County, AR",2015,"7,082","6,810",272,3.8
CN0508900000000,5,89,"Marion County, AR",2015,"6,524","6,187",337,5.2
CN0509100000000,5,91,"Miller County, AR",2015,"19,910","18,916",994,5
CN0509300000000,5,93,"Mississippi County, AR",2015,"18,370","16,720","1,650",9
CN0509500000000,5,95,"Monroe County, AR",2015,"2,973","2,793",180,6.1
CN0509700000000,5,97,"Montgomery County, AR",2015,"3,227","3,008",219,6.8
CN0509900000000,5,99,"Nevada County, AR",2015,"3,633","3,452",181,5
CN0510100000000,5,101,"Newton County, AR",2015,"3,394","3,230",164,4.8
CN0510300000000,5,103,"Ouachita County, AR",2015,"9,882","9,256",626,6.3
CN0510500000000,5,105,"Perry County, AR",2015,"4,201","3,944",257,6.1
CN0510700000000,5,107,"Phillips County, AR",2015,"6,995","6,466",529,7.6
CN0510900000000,5,109,"Pike County, AR",2015,"4,168","3,922",246,5.9
CN0511100000000,5,111,"Poinsett County, AR",2015,"10,064","9,502",562,5.6
CN0511300000000,5,113,"Polk County, AR",2015,"8,295","7,815",480,5.8
CN0511500000000,5,115,"Pope County, AR",2015,"29,676","28,110","1,566",5.3
CN0511700000000,5,117,"Prairie County, AR",2015,"3,728","3,553",175,4.7
CN0511900000000,5,119,"Pulaski County, AR",2015,"186,061","177,567","8,494",4.6
CN0512100000000,5,121,"Randolph County, AR",2015,"6,184","5,742",442,7.1
CN0512300000000,5,123,"St. Francis County, AR",2015,"8,948","8,302",646,7.2
CN0512500000000,5,125,"Saline County, AR",2015,"55,992","53,714","2,278",4.1
CN0512700000000,5,127,"Scott County, AR",2015,"4,486","4,271",215,4.8
CN0512900000000,5,129,"Searcy County, AR",2015,"3,027","2,856",171,5.6
CN0513100000000,5,131,"Sebastian County, AR",2015,"57,731","54,961","2,770",4.8
CN0513300000000,5,133,"Sevier County, AR",2015,"5,603","5,260",343,6.1
CN0513500000000,5,135,"Sharp County, AR",2015,"6,004","5,591",413,6.9
CN0513700000000,5,137,"Stone County, AR",2015,"4,705","4,411",294,6.2
CN0513900000000,5,139,"Union County, AR",2015,"16,871","15,837","1,034",6.1
CN0514100000000,5,141,"Van Buren County, AR",2015,"6,427","5,996",431,6.7
CN0514300000000,5,143,"Washington County, AR",2015,"115,236","111,175","4,061",3.5
CN0514500000000,5,145,"White County, AR",2015,"34,536","32,391","2,145",6.2
CN0514700000000,5,147,"Woodruff County, AR",2015,"3,031","2,837",194,6.4
CN0514900000000,5,149,"Yell County, AR",2015,"8,941","8,486",455,5.1
CN0600100000000,6,1,"Alameda County, CA",2015,"823,130","784,217","38,913",4.7
CN0600300000000,6,3,"Alpine County, CA",2015,546,506,40,7.3
CN0600500000000,6,5,"Amador County, CA",2015,"14,343","13,396",947,6.6
CN0600700000000,6,7,"Butte County, CA",2015,"101,337","94,074","7,263",7.2
CN0600900000000,6,9,"Calaveras County, CA",2015,"20,586","19,272","1,314",6.4
CN0601100000000,6,11,"Colusa County, CA",2015,"11,070","9,367","1,703",15.4
CN0601300000000,6,13,"Contra Costa County, CA",2015,"547,455","519,999","27,456",5
CN0601500000000,6,15,"Del Norte County, CA",2015,"9,876","9,033",843,8.5
CN0601700000000,6,17,"El Dorado County, CA",2015,"88,350","83,326","5,024",5.7
CN0601900000000,6,19,"Fresno County, CA",2015,"441,364","396,410","44,954",10.2
CN0602100000000,6,21,"Glenn County, CA",2015,"12,988","11,856","1,132",8.7
CN0602300000000,6,23,"Humboldt County, CA",2015,"62,454","58,964","3,490",5.6
CN0602500000000,6,25,"Imperial County, CA",2015,"78,162","59,351","18,811",24.1
CN0602700000000,6,27,"Inyo County, CA",2015,"9,107","8,580",527,5.8
CN0602900000000,6,29,"Kern County, CA",2015,"390,873","350,944","39,929",10.2
CN0603100000000,6,31,"Kings County, CA",2015,"57,873","51,797","6,076",10.5
CN0603300000000,6,33,"Lake County, CA",2015,"29,060","26,852","2,208",7.6
CN0603500000000,6,35,"Lassen County, CA",2015,"10,783","10,004",779,7.2
CN0603700000000,6,37,"Los Angeles County, CA",2015,"5,002,332","4,671,098","331,234",6.6
CN0603900000000,6,39,"Madera County, CA",2015,"60,021","53,719","6,302",10.5
CN0604100000000,6,41,"Marin County, CA",2015,"139,512","134,572","4,940",3.5
CN0604300000000,6,43,"Mariposa County, CA",2015,"8,027","7,454",573,7.1
CN0604500000000,6,45,"Mendocino County, CA",2015,"39,930","37,609","2,321",5.8
CN0604700000000,6,47,"Merced County, CA",2015,"114,340","101,362","12,978",11.4
CN0604900000000,6,49,"Modoc County, CA",2015,"3,305","3,022",283,8.6
CN0605100000000,6,51,"Mono County, CA",2015,"8,262","7,757",505,6.1
CN0605300000000,6,53,"Monterey County, CA",2015,"218,811","201,110","17,701",8.1
CN0605500000000,6,55,"Napa County, CA",2015,"73,937","70,523","3,414",4.6
CN0605700000000,6,57,"Nevada County, CA",2015,"48,140","45,532","2,608",5.4
CN0605900000000,6,59,"Orange County, CA",2015,"1,588,764","1,517,820","70,944",4.5
CN0606100000000,6,61,"Placer County, CA",2015,"176,855","167,923","8,932",5.1
CN0606300000000,6,63,"Plumas County, CA",2015,"7,900","7,088",812,10.3
CN0606500000000,6,65,"Riverside County, CA",2015,"1,035,694","966,338","69,356",6.7
CN0606700000000,6,67,"Sacramento County, CA",2015,"685,987","644,870","41,117",6
CN0606900000000,6,69,"San Benito County, CA",2015,"29,342","27,087","2,255",7.7
CN0607100000000,6,71,"San Bernardino County, CA",2015,"921,170","861,894","59,276",6.4
CN0607300000000,6,73,"San Diego County, CA",2015,"1,554,903","1,474,197","80,706",5.2
CN0607500000000,6,75,"San Francisco County/city, CA",2015,"545,704","525,939","19,765",3.6
CN0607700000000,6,77,"San Joaquin County, CA",2015,"315,286","287,278","28,008",8.9
CN0607900000000,6,79,"San Luis Obispo County, CA",2015,"139,613","133,029","6,584",4.7
CN0608100000000,6,81,"San Mateo County, CA",2015,"437,690","422,826","14,864",3.4
CN0608300000000,6,83,"Santa Barbara County, CA",2015,"217,769","206,250","11,519",5.3
CN0608500000000,6,85,"Santa Clara County, CA",2015,"1,009,804","967,710","42,094",4.2
CN0608700000000,6,87,"Santa Cruz County, CA",2015,"143,426","132,675","10,751",7.5
CN0608900000000,6,89,"Shasta County, CA",2015,"74,324","68,550","5,774",7.8
CN0609100000000,6,91,"Sierra County, CA",2015,"1,356","1,237",119,8.8
CN0609300000000,6,93,"Siskiyou County, CA",2015,"17,920","16,242","1,678",9.4
CN0609500000000,6,95,"Solano County, CA",2015,"205,325","192,736","12,589",6.1
CN0609700000000,6,97,"Sonoma County, CA",2015,"258,426","246,837","11,589",4.5
CN0609900000000,6,99,"Stanislaus County, CA",2015,"241,609","218,687","22,922",9.5
CN0610100000000,6,101,"Sutter County, CA",2015,"44,704","39,914","4,790",10.7
CN0610300000000,6,103,"Tehama County, CA",2015,"25,076","23,094","1,982",7.9
CN0610500000000,6,105,"Trinity County, CA",2015,"5,142","4,742",400,7.8
CN0610700000000,6,107,"Tulare County, CA",2015,"204,111","180,569","23,542",11.5
CN0610900000000,6,109,"Tuolumne County, CA",2015,"21,578","20,058","1,520",7
CN0611100000000,6,111,"Ventura County, CA",2015,"428,437","404,239","24,198",5.6
CN0611300000000,6,113,"Yolo County, CA",2015,"104,706","97,963","6,743",6.4
CN0611500000000,6,115,"Yuba County, CA",2015,"27,881","25,301","2,580",9.3
CN0800100000000,8,1,"Adams County, CO",2015,"247,717","236,940","10,777",4.4
CN0800300000000,8,3,"Alamosa County, CO",2015,"7,649","7,254",395,5.2
CN0800500000000,8,5,"Arapahoe County, CO",2015,"334,230","321,794","12,436",3.7
CN0800700000000,8,7,"Archuleta County, CO",2015,"6,010","5,767",243,4
CN0800900000000,8,9,"Baca County, CO",2015,"1,969","1,929",40,2
CN0801100000000,8,11,"Bent County, CO",2015,"1,731","1,663",68,3.9
CN0801300000000,8,13,"Boulder County, CO",2015,"176,707","171,102","5,605",3.2
CN0801400000000,8,14,"Broomfield County/city, CO",2015,"35,527","34,353","1,174",3.3
CN0801500000000,8,15,"Chaffee County, CO",2015,"8,491","8,201",290,3.4
CN0801700000000,8,17,"Cheyenne County, CO",2015,"1,010",983,27,2.7
CN0801900000000,8,19,"Clear Creek County, CO",2015,"5,542","5,339",203,3.7
CN0802100000000,8,21,"Conejos County, CO",2015,"3,597","3,392",205,5.7
CN0802300000000,8,23,"Costilla County, CO",2015,"1,622","1,518",104,6.4
CN0802500000000,8,25,"Crowley County, CO",2015,"1,353","1,293",60,4.4
CN0802700000000,8,27,"Custer County, CO",2015,"1,988","1,918",70,3.5
CN0802900000000,8,29,"Delta County, CO",2015,"13,438","12,670",768,5.7
CN0803100000000,8,31,"Denver County/city, CO",2015,"375,443","361,592","13,851",3.7
CN0803300000000,8,33,"Dolores County, CO",2015,"1,322","1,281",41,3.1
CN0803500000000,8,35,"Douglas County, CO",2015,"172,093","166,762","5,331",3.1
CN0803700000000,8,37,"Eagle County, CO",2015,"32,734","31,707","1,027",3.1
CN0803900000000,8,39,"Elbert County, CO",2015,"13,256","12,839",417,3.1
CN0804100000000,8,41,"El Paso County, CO",2015,"307,567","293,453","14,114",4.6
CN0804300000000,8,43,"Fremont County, CO",2015,"14,497","13,602",895,6.2
CN0804500000000,8,45,"Garfield County, CO",2015,"30,458","29,194","1,264",4.1
CN0804700000000,8,47,"Gilpin County, CO",2015,"3,397","3,291",106,3.1
CN0804900000000,8,49,"Grand County, CO",2015,"9,051","8,759",292,3.2
CN0805100000000,8,51,"Gunnison County, CO",2015,"9,787","9,498",289,3
CN0805300000000,8,53,"Hinsdale County, CO",2015,440,427,13,3
CN0805500000000,8,55,"Huerfano County, CO",2015,"2,369","2,186",183,7.7
CN0805700000000,8,57,"Jackson County, CO",2015,834,803,31,3.7
CN0805900000000,8,59,"Jefferson County, CO",2015,"308,750","297,859","10,891",3.5
CN0806100000000,8,61,"Kiowa County, CO",2015,791,770,21,2.7
CN0806300000000,8,63,"Kit Carson County, CO",2015,"4,319","4,215",104,2.4
CN0806500000000,8,65,"Lake County, CO",2015,"4,566","4,389",177,3.9
CN0806700000000,8,67,"La Plata County, CO",2015,"29,848","28,819","1,029",3.4
CN0806900000000,8,69,"Larimer County, CO",2015,"180,520","174,549","5,971",3.3
CN0807100000000,8,71,"Las Animas County, CO",2015,"6,126","5,782",344,5.6
CN0807300000000,8,73,"Lincoln County, CO",2015,"2,169","2,095",74,3.4
CN0807500000000,8,75,"Logan County, CO",2015,"10,928","10,595",333,3
CN0807700000000,8,77,"Mesa County, CO",2015,"71,779","67,806","3,973",5.5
CN0807900000000,8,79,"Mineral County, CO",2015,445,429,16,3.6
CN0808100000000,8,81,"Moffat County, CO",2015,"7,104","6,781",323,4.5
CN0808300000000,8,83,"Montezuma County, CO",2015,"12,335","11,634",701,5.7
CN0808500000000,8,85,"Montrose County, CO",2015,"19,321","18,346",975,5
CN0808700000000,8,87,"Morgan County, CO",2015,"14,663","14,106",557,3.8
CN0808900000000,8,89,"Otero County, CO",2015,"7,880","7,423",457,5.8
CN0809100000000,8,91,"Ouray County, CO",2015,"2,153","2,060",93,4.3
CN0809300000000,8,93,"Park County, CO",2015,"9,365","9,043",322,3.4
CN0809500000000,8,95,"Phillips County, CO",2015,"2,356","2,300",56,2.4
CN0809700000000,8,97,"Pitkin County, CO",2015,"10,734","10,319",415,3.9
CN0809900000000,8,99,"Prowers County, CO",2015,"5,811","5,576",235,4
CN0810100000000,8,101,"Pueblo County, CO",2015,"71,679","67,632","4,047",5.6
CN0810300000000,8,103,"Rio Blanco County, CO",2015,"2,805","2,658",147,5.2
CN0810500000000,8,105,"Rio Grande County, CO",2015,"4,865","4,558",307,6.3
CN0810700000000,8,107,"Routt County, CO",2015,"14,274","13,810",464,3.3
CN0810900000000,8,109,"Saguache County, CO",2015,"3,077","2,888",189,6.1
CN0811100000000,8,111,"San Juan County, CO",2015,470,450,20,4.3
CN0811300000000,8,113,"San Miguel County, CO",2015,"5,071","4,879",192,3.8
CN0811500000000,8,115,"Sedgwick County, CO",2015,"1,146","1,107",39,3.4
CN0811700000000,8,117,"Summit County, CO",2015,"20,553","20,034",519,2.5
CN0811900000000,8,119,"Teller County, CO",2015,"11,400","10,892",508,4.5
CN0812100000000,8,121,"Washington County, CO",2015,"2,783","2,712",71,2.6
CN0812300000000,8,123,"Weld County, CO",2015,"147,722","142,040","5,682",3.8
CN0812500000000,8,125,"Yuma County, CO",2015,"5,129","4,995",134,2.6
CN0900100000000,9,1,"Fairfield County, CT",2015,"481,852","456,134","25,718",5.3
CN0900300000000,9,3,"Hartford County, CT",2015,"474,499","446,575","27,924",5.9
CN0900500000000,9,5,"Litchfield County, CT",2015,"105,607","100,157","5,450",5.2
CN0900700000000,9,7,"Middlesex County, CT",2015,"92,262","87,695","4,567",5
CN0900900000000,9,9,"New Haven County, CT",2015,"456,601","428,192","28,409",6.2
CN0901100000000,9,11,"New London County, CT",2015,"136,999","128,887","8,112",5.9
CN0901300000000,9,13,"Tolland County, CT",2015,"85,126","80,888","4,238",5
CN0901500000000,9,15,"Windham County, CT",2015,"62,883","58,905","3,978",6.3
