United States,4.4,
,,
Hawaii,2.4,1
North Dakota,2.6,2
New Hampshire,2.7,3
Colorado,2.8,4
Nebraska,2.9,5
Vermont,3,6
Iowa,3.1,7
Idaho,3.2,8
Utah,3.2,8
Maine,3.3,10
South Dakota,3.3,10
Wisconsin,3.3,10
Indiana,3.5,13
Minnesota,3.5,13
Kansas,3.6,15
Arkansas,3.7,16
Massachusetts,3.7,16
Tennessee,3.7,16
Missouri,3.8,19
Virginia,3.8,19
Montana,4,21
Maryland,4.1,22
Oregon,4.1,22
Florida,4.2,24
Wyoming,4.2,24
Oklahoma,4.3,26
South Carolina,4.3,26
Texas,4.3,26
Alabama,4.4,29
Rhode Island,4.5,30
Delaware,4.6,31
Michigan,4.6,31
New Jersey,4.6,31
North Carolina,4.6,31
Connecticut,4.7,35
Georgia,4.7,35
New York,4.7,35
California,4.8,38
Washington,4.8,38
Arizona,4.9,40
Kentucky,4.9,40
Pennsylvania,4.9,40
Illinois,5,43
Nevada,5,43
Ohio,5,43
Louisiana,5.1,46
Mississippi,5.1,46
West Virginia,5.2,48
District of Columbia,6.1,49
New Mexico,6.2,50
Alaska,7.2,51
