LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed Level,Unemployed Rate
CN0100100000000,1,1,"Autauga County, AL",2014,"25,602","24,107","1,495",5.8
CN0100300000000,1,3,"Baldwin County, AL",2014,"86,415","81,115","5,300",6.1
CN0100500000000,1,5,"Barbour County, AL",2014,"8,848","7,916",932,10.5
CN0100700000000,1,7,"Bibb County, AL",2014,"8,562","7,945",617,7.2
CN0100900000000,1,9,"Blount County, AL",2014,"24,535","23,032","1,503",6.1
CN0101100000000,1,11,"Bullock County, AL",2014,"4,733","4,315",418,8.8
CN0101300000000,1,13,"Butler County, AL",2014,"9,272","8,480",792,8.5
CN0101500000000,1,15,"Calhoun County, AL",2014,"47,257","43,484","3,773",8
CN0101700000000,1,17,"Chambers County, AL",2014,"15,307","14,282","1,025",6.7
CN0101900000000,1,19,"Cherokee County, AL",2014,"11,390","10,729",661,5.8
CN0102100000000,1,21,"Chilton County, AL",2014,"19,102","17,906","1,196",6.3
CN0102300000000,1,23,"Choctaw County, AL",2014,"4,495","4,090",405,9
CN0102500000000,1,25,"Clarke County, AL",2014,"8,157","7,164",993,12.2
CN0102700000000,1,27,"Clay County, AL",2014,"5,513","5,119",394,7.1
CN0102900000000,1,29,"Cleburne County, AL",2014,"5,855","5,469",386,6.6
CN0103100000000,1,31,"Coffee County, AL",2014,"20,235","18,892","1,343",6.6
CN0103300000000,1,33,"Colbert County, AL",2014,"24,036","22,043","1,993",8.3
CN0103500000000,1,35,"Conecuh County, AL",2014,"4,718","4,231",487,10.3
CN0103700000000,1,37,"Coosa County, AL",2014,"4,469","4,075",394,8.8
CN0103900000000,1,39,"Covington County, AL",2014,"15,915","14,679","1,236",7.8
CN0104100000000,1,41,"Crenshaw County, AL",2014,"6,301","5,864",437,6.9
CN0104300000000,1,43,"Cullman County, AL",2014,"35,929","33,751","2,178",6.1
CN0104500000000,1,45,"Dale County, AL",2014,"20,323","18,885","1,438",7.1
CN0104700000000,1,47,"Dallas County, AL",2014,"16,008","14,209","1,799",11.2
CN0104900000000,1,49,"DeKalb County, AL",2014,"28,954","26,965","1,989",6.9
CN0105100000000,1,51,"Elmore County, AL",2014,"36,557","34,469","2,088",5.7
CN0105300000000,1,53,"Escambia County, AL",2014,"14,369","13,220","1,149",8
CN0105500000000,1,55,"Etowah County, AL",2014,"43,735","40,655","3,080",7
CN0105700000000,1,57,"Fayette County, AL",2014,"6,351","5,853",498,7.8
CN0105900000000,1,59,"Franklin County, AL",2014,"13,718","12,658","1,060",7.7
CN0106100000000,1,61,"Geneva County, AL",2014,"10,796","10,075",721,6.7
CN0106300000000,1,63,"Greene County, AL",2014,"2,986","2,614",372,12.5
CN0106500000000,1,65,"Hale County, AL",2014,"6,034","5,438",596,9.9
CN0106700000000,1,67,"Henry County, AL",2014,"6,778","6,270",508,7.5
CN0106900000000,1,69,"Houston County, AL",2014,"45,159","42,097","3,062",6.8
CN0107100000000,1,71,"Jackson County, AL",2014,"23,454","21,752","1,702",7.3
CN0107300000000,1,73,"Jefferson County, AL",2014,"312,247","292,621","19,626",6.3
CN0107500000000,1,75,"Lamar County, AL",2014,"5,626","5,234",392,7
CN0107700000000,1,77,"Lauderdale County, AL",2014,"43,489","40,362","3,127",7.2
CN0107900000000,1,79,"Lawrence County, AL",2014,"14,026","12,873","1,153",8.2
